"participant","seed","sort","image","final_img_pos","posX","posY"
"209",9,"Practice","bird","[ 215.  224.]",215,224
"209",9,"Sort1","M07neut_c","[-357.   75.]",-357,75
"209",9,"Sort1","M07surp_o","[ 501.   75.]",501,75
"209",9,"Sort1","M07neut_o","[-357.  -74.]",-357,-74
"209",9,"Sort1","M07fear_c","[  72.  373.]",72,373
"209",9,"Sort1","M07exc_o","[  72.  224.]",72,224
"209",9,"Sort1","M07hap_o","[ 501.  224.]",501,224
"209",9,"Sort1","M07hap_c","[ 501.  -74.]",501,-74
"209",9,"Sort1","M07sad_c","[-643.  373.]",-643,373
"209",9,"Sort1","M07calm_o","[ 501. -223.]",501,-223
"209",9,"Sort1","M07surp_c","[ 72.  75.]",72,75
"209",9,"Sort1","M07sad_o","[-643.  224.]",-643,224
"209",9,"Sort1","M07fear_o","[ 72. -74.]",72,-74
"209",9,"Sort1","M07calm_c","[ 501. -372.]",501,-372
"209",9,"Sort1","M07ang_o","[-214.  224.]",-214,224
"209",9,"Sort1","M07exc_c","[ 501.  373.]",501,373
"209",9,"Sort1","M07disg_c","[-214.   75.]",-214,75
"209",9,"Sort1","M07ang_c","[-214.  -74.]",-214,-74
"209",9,"Sort1","M07disg_o","[  72. -223.]",72,-223
"209",9,"Sort2","F14surp_c","[-500.  224.]",-500,224
"209",9,"Sort2","M15surp_o","[-500.   75.]",-500,75
"209",9,"Sort2","F01fear_c","[-214.  224.]",-214,224
"209",9,"Sort2","M02ang_c","[  72.  224.]",72,224
"209",9,"Sort2","M03calm_c","[ 501.  373.]",501,373
"209",9,"Sort2","M04disg_c","[-357. -223.]",-357,-223
"209",9,"Sort2","M05exc_c","[ 501.   75.]",501,75
"209",9,"Sort2","F22sad_c","[ 72. -74.]",72,-74
"209",9,"Sort2","M14neut_o","[-214.   75.]",-214,75
"209",9,"Sort2","M08fear_o","[-500.  -74.]",-500,-74
"209",9,"Sort2","M17sad_o","[  72. -223.]",72,-223
"209",9,"Sort2","F13exc_o","[ 501.  -74.]",501,-74
"209",9,"Sort2","F15hap_c","[ 501.  224.]",501,224
"209",9,"Sort2","F04ang_o","[  72. -372.]",72,-372
"209",9,"Sort2","F10disg_o","[-500. -223.]",-500,-223
"209",9,"Sort2","F07neut_c","[ 72.  75.]",72,75
"209",9,"Sort2","F17calm_o","[ 501. -223.]",501,-223
"209",9,"Sort2","M12hap_o","[ 501. -372.]",501,-372
"210",10,"Practice","car","[-214.   75.]",-214,75
"210",10,"Practice","bus","[-71. -74.]",-71,-74
"210",10,"Practice","squirrel","[ 215.  224.]",215,224
"210",10,"Practice","table","[ 358. -372.]",358,-372
"210",10,"Practice","bird","[ 72.  75.]",72,75
"210",10,"Sort1","M07disg_o","[-214.  373.]",-214,373
"210",10,"Sort1","M07hap_o","[ 72.  75.]",72,75
"210",10,"Sort1","M07sad_o","[-357.  -74.]",-357,-74
"210",10,"Sort1","M07exc_o","[ 215.   75.]",215,75
"210",10,"Sort1","M07ang_o","[-214.  -74.]",-214,-74
"210",10,"Sort1","M07hap_c","[ 215. -223.]",215,-223
"210",10,"Sort1","M07ang_c","[-214. -223.]",-214,-223
"210",10,"Sort1","M07exc_c","[ 72. -74.]",72,-74
"210",10,"Sort1","M07disg_c","[-214.  224.]",-214,224
"210",10,"Sort1","M07surp_c","[ 215.  224.]",215,224
"210",10,"Sort1","M07neut_c","[-357.   75.]",-357,75
"210",10,"Sort1","M07calm_c","[ 215.  -74.]",215,-74
"210",10,"Sort1","M07fear_c","[-71. -74.]",-71,-74
"210",10,"Sort1","M07sad_c","[-357. -223.]",-357,-223
"210",10,"Sort1","M07surp_o","[  72.  224.]",72,224
"210",10,"Sort1","M07calm_o","[-71.  75.]",-71,75
"210",10,"Sort1","M07neut_o","[ -71. -223.]",-71,-223
"210",10,"Sort1","M07fear_o","[-500.  -74.]",-500,-74
"210",10,"Sort2","M12hap_o","[-214.   75.]",-214,75
"210",10,"Sort2","M04disg_c","[ 215.   75.]",215,75
"210",10,"Sort2","M17sad_o","[  72.  224.]",72,224
"210",10,"Sort2","M03calm_c","[-71.  75.]",-71,75
"210",10,"Sort2","F04ang_o","[ 215.  224.]",215,224
"210",10,"Sort2","M05exc_c","[-214.  -74.]",-214,-74
"210",10,"Sort2","F17calm_o","[-214. -223.]",-214,-223
"210",10,"Sort2","F10disg_o","[ 215.  -74.]",215,-74
"210",10,"Sort2","F07neut_c","[-71. -74.]",-71,-74
"210",10,"Sort2","M08fear_o","[ 72.  75.]",72,75
"210",10,"Sort2","F14surp_c","[ 358.  224.]",358,224
"210",10,"Sort2","F15hap_c","[-214.  224.]",-214,224
"210",10,"Sort2","M02ang_c","[ 72. -74.]",72,-74
"210",10,"Sort2","F22sad_c","[  72. -223.]",72,-223
"210",10,"Sort2","M15surp_o","[ 358.   75.]",358,75
"210",10,"Sort2","M14neut_o","[ -71.  224.]",-71,224
"210",10,"Sort2","F01fear_c","[-500.  224.]",-500,224
"210",10,"Sort2","F13exc_o","[-214. -372.]",-214,-372
"211",11,"Practice","table","[-71.  75.]",-71,75
"211",11,"Practice","bus","[ 215. -223.]",215,-223
"211",11,"Practice","squirrel","[-357. -223.]",-357,-223
"211",11,"Practice","car","[  72. -223.]",72,-223
"211",11,"Practice","bird","[-500.  -74.]",-500,-74
"211",11,"Sort1","M07surp_o","[ 215.  224.]",215,224
"211",11,"Sort1","M07neut_c","[-500.  -74.]",-500,-74
"211",11,"Sort1","M07fear_o","[ -71. -223.]",-71,-223
"211",11,"Sort1","M07calm_c","[ 501.  224.]",501,224
"211",11,"Sort1","M07hap_o","[ 215.  373.]",215,373
"211",11,"Sort1","M07fear_c","[-500. -372.]",-500,-372
"211",11,"Sort1","M07sad_c","[  72. -223.]",72,-223
"211",11,"Sort1","M07ang_o","[-500.  224.]",-500,224
"211",11,"Sort1","M07exc_c","[ 358.  373.]",358,373
"211",11,"Sort1","M07hap_c","[ 358.  224.]",358,224
"211",11,"Sort1","M07surp_c","[-643. -372.]",-643,-372
"211",11,"Sort1","M07disg_c","[-357.  373.]",-357,373
"211",11,"Sort1","M07sad_o","[ -71. -372.]",-71,-372
